Force,Local Authority,Population figures (thousands),Household figures (thousands) ,Violence against the person offences recorded 08/09,Violence against the person offences recorded 09/10,Violence against the person change 08/09-09/10 (%),'Violence against the person offences per 1,000 population 09/10',Sexual offences recorded 08/09,Sexual offences recorded 09/10,Sexual offences change 08/09-09/10 (%),'Sexual offences per 1,000 population 09/10',Robbery offences recorded 08/09,Robbery offences recorded 09/10,Robbery offences change 08/09-09/10  (%),'Robbery offences per 1,000 population 09/10',Burglary dwelling offences recorded 08/09,Burglary dwelling offences recorded 09/10,Burglary dwelling change 08/09-09/10 (%),'Burglary dwelling offences per 1,000 population 09/10','Burglary dwelling offences per 1,000 households 09/10',Theft of a motor vehicle offences recorded 08/09,Theft of a motor vehicle offences recorded 09/10,Theft of a motor vehicle change 08/09-09/10          (%),'Theft of a motor vehicle offences per 1,000 population 09/10',Theft from a vehicle offences recorded 08/09,Theft from a vehicle offences recorded 09/10,Theft from a vehicle change 08/09-09/10 (%),'Theft from a vehicle offences per 1,000 population 09/10',Interfering with a motor vehicle offences recorded 08/09,Interfering with a motor vehicle offences recorded 09/10,Interfering with a motor vehicle change 08/09-09/10 (%),'Interfering with a motor vehicle offences per 1,000 population 09/10',Recorded crime BCS comparator offences recorded 08/09,Recorded crime BCS comparator offences recorded 09/10,Recorded crime BCS comparator change 08/09-09/10 (%),'Recorded crime BCS comparator offences per 1,000 population 09/10'
Avon & Somerset,Bath and North East Somerset,177400,75900,2834,2751,-3,16,110,108,-2,1,87,63,-28,0,690,496,-28,3,7,360,228,-37,1,940,567,-40,3,204,110,-46,1,6936,5679,-18,32
Avon & Somerset,City of Bristol UA,426100,183600,10975,11522,5,27,744,801,8,2,1529,1290,-16,3,4706,4403,-6,10,24,2168,1606,-26,4,5300,4187,-21,10,904,763,-16,2,34592,31018,-10,73
Avon & Somerset,Mendip,108900,46800,1268,1245,-2,11,69,59,-14,1,20,X,X,,204,221,8,2,5,168,137,-18,1,410,450,10,4,70,47,-,0,3639,3440,-5,32
Avon & Somerset,North Somerset,207000,90100,3030,3007,-1,15,155,123,-21,1,102,131,28,1,770,649,-16,3,7,377,280,-26,1,1084,887,-18,4,164,158,-4,1,8154,7257,-11,35
Avon & Somerset,Sedgemoor,112300,49200,1556,1500,-4,13,104,100,-4,1,33,28,-,0,293,250,-15,2,5,178,118,-34,1,527,346,-34,3,61,57,-7,1,4293,3592,-16,32
Avon & Somerset,South Gloucester,260400,108000,3188,3120,-2,12,158,183,16,1,195,182,-7,1,1151,1041,-10,4,10,617,480,-22,2,1576,1252,-21,5,231,216,-6,1,10195,9315,-9,36
Avon & Somerset,South Somerset,158800,69700,1847,1788,-3,11,106,99,-7,1,38,34,-,0,436,290,-33,2,4,208,187,-10,1,741,512,-31,3,113,101,-11,1,5522,4778,-13,30
Avon & Somerset,Taunton Deane,108600,48200,1528,1506,-1,14,92,78,-15,1,31,26,-,0,299,280,-6,3,6,152,141,-7,1,562,448,-20,4,62,68,10,1,4523,3943,-13,36
Avon & Somerset,West Somerset,35600,16300,367,341,-7,10,21,28,-,1,5,X,X,,64,32,-,1,2,47,46,-,1,121,102,-16,3,14,24,-,1,996,881,-12,25
Avon & Somerset,Total,1595200,687700,26593,26780,1,17,1559,1579,1,1,2040,1777,-13,1,8613,7662,-11,5,11,4275,3223,-25,2,11261,8751,-22,5,1823,1544,-15,1,78850,69903,-11,44
Bedfordshire,Bedford,157100,66200,1956,2292,17,15,128,146,14,1,253,236,-7,2,741,901,22,6,14,345,304,-12,2,1071,1062,-1,7,122,154,26,1,6899,7233,5,46
Bedfordshire,Luton,190500,74400,3263,3288,1,17,313,170,-46,1,573,347,-39,2,2020,1486,-26,8,20,575,378,-34,2,2260,1437,-36,8,145,92,-37,0,11783,9674,-18,51
Bedfordshire,Mid Bedfordshire,134200,57100,690,688,0,5,45,46,-,0,44,34,-,0,441,451,2,3,8,188,147,-22,1,671,669,0,5,92,79,-14,1,3348,3166,-5,24
Bedfordshire,South Bedfordshire,117500,49700,1342,1382,3,12,72,72,0,1,144,97,-33,1,859,591,-31,5,12,307,224,-27,2,1157,1025,-11,9,115,138,20,1,6057,5279,-13,45
Bedfordshire,Total,599400,247500,7251,7650,6,13,558,434,-22,1,1014,714,-30,1,4061,3429,-16,6,14,1415,1053,-26,2,5159,4193,-19,7,474,463,-2,1,28087,25352,-10,42
Cambridgeshire,Cambridge,118700,47200,2323,2118,-9,18,146,131,-10,1,271,171,-37,1,1077,850,-21,7,18,255,182,-29,2,1017,872,-14,7,87,73,-16,1,9283,8340,-10,70
Cambridgeshire,East Cambridgeshire,82600,34300,561,612,9,7,59,32,-,0,9,17,-,0,194,204,5,2,6,188,106,-44,1,324,320,-1,4,72,36,-50,0,2234,1985,-11,24
